CaseNumber;Year;Month;FY;AcquiringFirm;TargetFirm;Size;Phase;Sector;SIC;Approval_Status;Joint_Venture;Joint_Control;Overlap_Type;Product_Market;Geographic_Market;TOH_Assess;Barriers_Assess;Barriers_Significant;Barriers_Identified;Barriers_Regulatory;Barriers_Structural;Barriers_Strategic;Entry_Assess;Num_Entered;Expansion_Assess;Num_Expand;Countervail_Assess;Countervail_Finding;Import_Comp;Import_Share;Import_Constraint;Efficiency_prov;Efficiency_substantive;Counterfactual_Assess;PublicInterest_Assess;PublicInterest_Identified;Conditions;Conditions_Comp_Type;Conditions_PI_Type
2010Nov5443;2010;Nov;2010/11;Paarl Media (Pty) Ltd;Primedia (Pty) Ltd;S;3;Media;88311;Approved;No;No;Horizontal;Distribution of printed advertising leaflets direct to consumers;National;Unilateral effects/coordinated effects;Yes;;None;;;;Yes;1;Yes;0;Yes;Yes;No;;;No;;No;Yes;effects on industrial/regional & employment & small business/firm & ability of national industries to compete in international markets;;;
2011Jan5566;2011;Jan;2010/11;AON South Africa (Pty) Ltd;Glenrand Limited;I;3;Insurance;8219;Approved with conditions;No;No;Horizontal;Commercial brokering;National and Regional;Removal of potential competitor/ Customer foreclosure;Yes;;Regulatory/Structural/Strategic advantages;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;High investment branding;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & ability of national industries to compete in international markets;public interest;;Effects on industrial/Regional & employment
2011Jan5566;2011;Jan;2010/11;AON South Africa (Pty) Ltd;Glenrand Limited;I;3;Insurance;8219;Approved with conditions;No;No;Horizontal;Corporate broking;National;Removal of potential competitor/ Customer foreclosure;Yes;;Regulatory/Structural/Strategic advantages;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;High investment branding;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & ability of national industries to compete in international markets;public interest;;Effects on industrial/Regional & employment
2011Jan5566;2011;Jan;2010/11;AON South Africa (Pty) Ltd;Glenrand Limited;I;3;Insurance;8219;Approved with conditions;No;No;Horizontal;Insurance administration;National;Removal of potential competitor/ Customer foreclosure;Yes;;Regulatory/Structural/Strategic advantages;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;High investment branding;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & ability of national industries to compete in international markets;public interest;;Effects on industrial/Regional & employment
2011Jan5566;2011;Jan;2010/11;AON South Africa (Pty) Ltd;Glenrand Limited;I;3;Insurance;8219;Approved with conditions;No;No;Horizontal;Personal brokering;National and Regional;Removal of potential competitor/ Customer foreclosure;Yes;;Regulatory/Structural/Strategic advantages;Licensing/ Registration restrictions;Economies of scale / Capital investment costs;High investment branding;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & ability of national industries to compete in international markets;public interest;;Effects on industrial/Regional & employment
2011Jan5583;2011;Jan;2010/11;Kansai Paint Company Limited;Freeworld Coatings Limited;I;3;Manufacturing;33520;Approved with conditions;No;No;Horizontal;Manufacture of base coat;National;Unilateral effects/coordinated effects/portfolio effects;Yes;;Regulatory / Structural / Strategic;Licensing/ Registration restrictions;Capital investment costs/ Network effects;High investment branding/ Pricing related strategies;No;;No;;No;;No;;No;No;No;No;Yes;Effects on industrial/Regional & employment;public interest;Structural / Behavioural;Effects on industrial/Regional & ability of national industries to compete in international markets
2011Jan5583;2011;Jan;2010/11;Kansai Paint Company Limited;Freeworld Coatings Limited;I;3;Manufacturing;33520;Approved with conditions;No;No;Horizontal;Manufacture of clear coat;National;Unilateral effects/coordinated effects/portfolio effects;Yes;;Regulatory / Structural / Strategic;Licensing/ Registration restrictions;Capital investment costs/ Network effects;High investment branding/ Pricing related strategies;No;;No;;No;;No;;No;No;No;No;Yes;Effects on industrial/Regional & employment;public interest;Structural / Behavioural;Effects on industrial/Regional & ability of national industries to compete in international markets
2011Jan5583;2011;Jan;2010/11;Kansai Paint Company Limited;Freeworld Coatings Limited;I;3;Manufacturing;33520;Approved with conditions;No;No;Horizontal;Manufacture of e-coats;National;Unilateral effects/coordinated effects/portfolio effects;Yes;;Regulatory / Structural / Strategic;Licensing/ Registration restrictions;Capital investment costs/ Network effects;High investment branding/ Pricing related strategies;No;;No;;No;;No;;No;No;No;No;Yes;Effects on industrial/Regional & employment;public interest;Structural / Behavioural;Effects on industrial/Regional & ability of national industries to compete in international markets
2011Jan5583;2011;Jan;2010/11;Kansai Paint Company Limited;Freeworld Coatings Limited;I;3;Manufacturing;33520;Approved with conditions;No;No;Horizontal;Manufacture of primer;National;Unilateral effects/coordinated effects/portfolio effects;Yes;;Regulatory / Structural / Strategic;Licensing/ Registration restrictions;Capital investment costs/ Network effects;High investment branding/ Pricing related strategies;No;;No;;No;;No;;No;No;No;No;Yes;Effects on industrial/Regional & employment;public interest;Structural / Behavioural;Effects on industrial/Regional & ability of national industries to compete in international markets
2011Jan5584;2011;Jan;2010/11;Caterpillar Inc,;Bucyrus International Inc,;I;3;Mining;242;Approved;No;No;Horizontal;Mining Trucks;National;Unilateral effects/coordinated effects/removal of potential competitor;No;;;;;;No;;No;;Yes;Yes;No;;;No;;No;Yes;Effects on industrial/Regional & employment & small business/firm & ability of national industries to compete in international markets;;;
